LPrice,LSqft,Bed,Bath,Age,Quality,AC,Garage,Pool,Price,Sqft
5.58995,3.49803,4,4,33,Medium,Yes,3,Yes,389000,3148
5.5617,3.41764,3,4,25,Medium,Yes,2,No,364500,2616
5.55328,3.55991,4,3,33,Medium,Yes,2,No,357500,3630
5.46982,3.29092,3,3,40,Medium,Yes,3,Yes,295000,1954
5.43854,3.28466,5,3,16,Medium,Yes,2,No,274500,1926
5.4133,3.40756,3,2,45,Medium,Yes,2,No,259000,2556
5.61805,3.35832,5,4,15,Medium,Yes,2,No,415000,2282
5.6464,3.52035,3,4,16,Medium,Yes,3,No,443000,3314
5.3962,3.30125,3,3,21,Medium,Yes,2,No,249000,2001
5.51851,3.41614,5,2,26,Medium,Yes,2,No,330000,2607
5.46389,3.45332,4,4,37,Medium,Yes,2,No,291000,2840
5.62118,3.4823,3,5,25,Medium,No,2,No,418000,3036
5.50515,3.35025,4,2,28,Medium,Yes,3,No,320000,2240
5.4216,3.25237,3,3,33,Medium,No,2,No,264000,1788
5.58092,3.4183,5,4,37,Medium,Yes,2,No,381000,2620
5.39794,3.17026,3,3,18,Medium,Yes,2,No,250000,1480
5.5563,3.41296,3,3,34,Medium,Yes,2,Yes,360000,2588
5.56761,3.49665,4,4,33,Medium,Yes,2,No,369500,3138
5.45545,3.39094,5,4,23,Medium,Yes,2,No,285400,2460
5.61172,3.55218,4,4,26,Medium,Yes,2,No,409000,3566
5.52244,3.43008,5,4,18,Medium,Yes,3,No,333000,2692
5.55871,3.471,5,4,15,Medium,Yes,3,No,362000,2958
5.58827,3.50024,4,4,36,Medium,Yes,2,Yes,387500,3164
5.3784,3.31345,3,3,33,Medium,Yes,2,No,239000,2058
5.47698,3.43409,3,4,19,Medium,Yes,2,No,299900,2717
5.52504,3.46538,4,3,15,Medium,Yes,3,No,335000,2920
5.43933,3.40722,5,3,42,Medium,Yes,2,No,275000,2554
5.51587,3.44793,3,4,14,Medium,Yes,2,No,328000,2805
5.52244,3.43712,4,3,23,Medium,Yes,2,Yes,333000,2736
5.59879,3.54605,5,7,6,Medium,Yes,3,No,397000,3516
5.5738,3.54851,6,4,24,Medium,Yes,2,Yes,374800,3536
5.716,3.33001,5,3,46,Medium,Yes,3,No,520000,2138
5.51188,3.43425,4,4,24,Medium,Yes,3,No,325000,2718
5.46982,3.33806,5,3,44,Medium,Yes,2,No,295000,2178
5.61805,3.49859,5,4,22,Medium,Yes,2,No,415000,3152
5.35199,3.41681,3,3,15,Medium,Yes,2,No,224900,2611
5.42325,3.31387,4,3,21,Medium,Yes,2,No,265000,2060
5.47698,3.38881,4,4,23,Medium,Yes,3,No,299900,2448
5.59106,3.60746,6,5,36,Medium,Yes,2,Yes,390000,4050
5.43297,3.38274,3,3,88,Medium,Yes,2,No,271000,2414
5.51851,3.48742,4,3,36,Medium,Yes,2,No,330000,3072
5.54407,3.40226,3,3,19,Medium,Yes,3,No,350000,2525
5.49136,3.45728,5,3,41,Medium,Yes,3,No,310000,2866
5.53148,3.51135,4,4,15,Medium,Yes,3,No,340000,3246
5.48714,3.43249,4,4,10,Medium,Yes,2,No,307000,2707
5.48287,3.36173,5,3,41,Medium,Yes,2,No,304000,2300
5.44075,3.26951,3,3,45,Medium,Yes,2,No,275900,1860
5.49831,3.56062,5,3,26,Medium,Yes,2,No,315000,3636
5.46982,3.28103,4,3,34,Medium,Yes,2,No,295000,1910
5.39969,3.35793,4,2,46,Medium,Yes,2,No,251010,2280
5.52504,3.52969,4,5,37,Medium,No,2,No,335000,3386
5.53593,3.36624,5,4,35,Medium,Yes,3,No,343500,2324
5.47276,3.29447,4,3,30,Medium,Yes,2,No,297000,1970
5.44871,3.31429,3,3,25,Medium,Yes,2,Yes,281000,2062
5.37107,3.4178,4,3,17,Medium,Yes,2,No,235000,2617
5.37475,3.41697,4,3,17,Medium,Yes,2,No,237000,2612
5.43917,3.39305,3,3,33,Medium,Yes,2,No,274900,2472
5.36154,3.28375,4,2,45,Medium,Yes,2,No,229900,1922
5.4133,3.26764,3,2,18,Medium,Yes,2,No,259000,1852
5.38917,3.35005,3,3,16,Medium,Yes,2,No,245000,2239
5.31806,3.31555,3,2,23,Medium,Yes,2,No,208000,2068
5.62428,3.32243,3,3,46,Medium,No,2,No,421000,2101
5.50515,3.34242,4,3,34,Medium,Yes,2,No,320000,2200
5.40824,3.29491,3,3,13,Medium,No,2,No,256000,1972
5.43933,3.30255,3,3,43,Medium,Yes,2,Yes,275000,2007
5.34635,3.41697,4,3,17,Medium,Yes,2,No,222000,2612
5.39777,3.32715,4,1,28,Medium,Yes,3,No,249900,2124
5.43696,3.41697,4,3,17,Medium,Yes,2,No,273500,2612
5.33945,3.4062,2,2,18,Medium,Yes,2,No,218500,2548
5.57634,3.44201,3,3,61,Medium,Yes,3,No,377000,2767
5.34242,3.30643,3,3,13,Medium,Yes,2,No,220000,2025
5.28533,3.29137,4,2,40,Medium,Yes,2,No,192900,1956
5.47531,3.39094,4,3,35,Medium,Yes,2,No,298750,2460
5.49831,3.44154,3,3,30,Medium,Yes,3,No,315000,2764
5.49831,3.3019,4,3,35,Medium,Yes,2,No,315000,2004
5.66829,3.45515,4,3,41,Medium,Yes,2,Yes,465900,2852
5.37931,3.32139,3,3,25,Medium,Yes,2,No,239500,2096
5.44091,3.36736,3,3,13,Medium,Yes,2,No,276000,2330
5.35411,3.4014,4,3,24,Medium,Yes,2,No,226000,2520
5.37107,3.40278,3,3,25,Medium,Yes,2,No,235000,2528
5.3927,3.3075,4,3,14,Medium,Yes,3,No,247000,2030
5.26007,3.344,2,2,17,Medium,Yes,2,No,182000,2208
5.25527,3.17609,2,1,64,Medium,Yes,0,No,180000,1500
5.3962,3.31765,5,3,37,Medium,Yes,2,No,249000,2078
5.41497,3.38775,4,3,33,Medium,Yes,2,No,260000,2442
5.34223,3.41697,3,3,16,Medium,Yes,2,No,219900,2612
5.46982,3.35564,4,3,30,Medium,Yes,3,No,295000,2268
5.4624,3.4368,4,3,31,Medium,Yes,2,No,290000,2734
5.47712,3.34792,4,3,20,Medium,Yes,2,No,300000,2228
5.55011,3.47712,5,4,29,Medium,Yes,3,No,354900,3000
5.41664,3.38093,5,3,29,Medium,Yes,3,Yes,261000,2404
5.2418,3.26482,3,2,42,Medium,Yes,2,No,174500,1840
5.38899,3.32366,3,2,55,Medium,No,2,No,244900,2107
5.43917,3.44529,4,3,18,Medium,Yes,2,No,274900,2788
5.33041,3.3831,3,3,18,Medium,Yes,2,No,214000,2416
5.45179,3.38561,3,4,18,Medium,Yes,3,No,283000,2430
5.25018,3.19976,3,2,13,Medium,Yes,2,No,177900,1584
5.37566,3.27254,3,3,24,Medium,Yes,2,No,237500,1873
5.30567,3.2159,4,3,26,Medium,Yes,2,No,202150,1644
5.37107,3.38021,4,3,26,Medium,Yes,2,No,235000,2400
5.33646,3.32098,4,3,18,Medium,Yes,2,No,217000,2094
5.45484,3.40841,3,3,21,Medium,Yes,3,No,285000,2561
5.33746,3.24353,3,2,26,Medium,Yes,2,No,217500,1752
5.32222,3.24005,5,3,19,Medium,Yes,2,No,210000,1738
5.26326,3.31555,3,2,25,Medium,Yes,3,No,183340,2068
5.4014,3.38525,4,3,36,Medium,Yes,2,No,252000,2428
5.37475,3.32015,4,2,33,Medium,Yes,2,No,237000,2090
5.31175,3.26007,3,2,58,Medium,Yes,2,No,205000,1820
5.45484,3.50772,4,4,58,Medium,Yes,2,No,285000,3219
5.32222,3.4239,3,5,40,Medium,Yes,2,No,210000,2654
5.44716,3.25575,4,3,46,Medium,Yes,2,No,280000,1802
5.31597,3.24674,3,2,26,Medium,Yes,2,No,207000,1765
5.34439,3.44498,4,3,26,Medium,Yes,2,No,221000,2786
5.40993,3.25382,3,2,42,Medium,Yes,2,No,257000,1794
5.43775,3.44217,3,3,81,Medium,No,2,No,274000,2768
5.4183,3.35946,3,2,39,Medium,Yes,2,No,262000,2288
5.31048,3.30707,3,2,51,Medium,Yes,2,No,204400,2028
5.40637,3.4183,5,3,36,Medium,Yes,2,No,254900,2620
5.38739,3.2159,3,3,22,Medium,Yes,2,No,244000,1644
5.32838,3.276,3,2,44,Medium,Yes,3,No,213000,1888
5.38021,3.32552,4,3,38,Medium,Yes,2,No,240000,2116
5.37107,3.36418,4,3,30,Medium,Yes,2,No,235000,2313
5.31387,3.26102,4,2,43,Medium,Yes,2,No,206000,1824
5.37475,3.28825,4,3,30,Medium,Yes,2,No,237000,1942
5.43775,3.33925,4,3,25,Medium,Yes,2,No,274000,2184
5.43933,3.41128,3,3,37,Medium,Yes,2,No,275000,2578
5.33925,3.30878,4,3,42,Medium,Yes,2,No,218400,2036
5.19312,3.14114,2,1,41,Medium,No,2,No,156000,1384
5.34242,3.2615,4,3,50,Medium,Yes,2,No,220000,1826
5.23426,3.22557,3,2,45,Medium,Yes,1,No,171500,1681
5.25527,3.23704,3,2,40,Medium,Yes,2,No,180000,1726
5.30963,3.28103,3,2,44,Medium,Yes,2,No,204000,1910
5.48714,3.42553,4,3,40,Medium,Yes,2,No,307000,2664
5.42325,3.32552,3,3,26,Medium,Yes,2,No,265000,2116
5.32201,3.3075,3,3,43,Medium,Yes,2,No,209900,2030
5.23805,3.2878,3,2,46,Medium,No,2,No,173000,1940
5.27646,3.22427,3,3,37,Medium,No,2,No,189000,1676
5.34733,3.32634,3,2,43,Medium,Yes,2,Yes,222500,2120
5.42325,3.33284,4,3,15,Medium,Yes,2,No,265000,2152
5.4227,3.29754,4,3,36,Medium,Yes,2,No,264670,1984
5.30266,3.19728,3,3,45,Medium,Yes,2,No,200750,1575
5.35774,3.25479,3,3,24,Medium,Yes,2,No,227900,1798
5.40654,3.30471,3,1,44,Medium,No,1,No,255000,2017
5.31911,3.27967,3,3,24,Medium,Yes,2,No,208500,1904
5.35583,3.23502,3,3,26,Medium,Yes,2,No,226900,1718
5.33244,3.24944,4,2,22,Medium,No,1,No,215000,1776
5.34821,3.41647,4,3,41,Medium,Yes,2,No,222950,2609
5.38003,3.34753,3,3,47,Medium,Yes,2,No,239900,2226
5.24551,3.19201,2,1,43,Medium,Yes,3,No,176000,1556
5.35793,3.2465,2,2,17,Medium,Yes,2,No,228000,1764
5.31154,3.21112,3,3,34,Medium,Yes,2,Yes,204900,1626
5.41162,3.30363,5,3,35,Medium,Yes,2,No,258000,2012
5.38355,3.32015,4,4,39,Medium,Yes,2,No,241850,2090
5.29776,3.34084,4,2,39,Medium,Yes,2,No,198500,2192
5.38561,3.34792,4,4,37,Medium,Yes,2,No,243000,2228
5.27184,3.26126,4,2,39,Medium,Yes,2,No,187000,1825
5.36736,3.32879,4,3,36,Medium,Yes,2,No,233000,2132
5.31175,3.33445,3,2,19,Medium,Yes,2,No,205000,2160
5.31175,3.29535,3,2,48,Medium,Yes,2,No,205000,1974
5.27646,3.22943,3,3,34,Medium,Yes,2,No,189000,1696
5.31154,3.32879,3,3,33,Medium,Yes,2,No,204900,2132
5.3784,3.25864,4,3,23,Medium,Yes,2,Yes,239000,1814
5.28556,3.25431,3,2,39,Medium,Yes,2,No,193000,1796
5.41497,3.35564,5,3,31,Medium,Yes,2,No,260000,2268
5.27416,3.23528,2,3,42,Medium,Yes,2,No,188000,1719
5.27989,3.23147,3,2,18,Medium,Yes,2,No,190500,1704
5.36173,3.33082,3,2,43,Medium,Yes,2,No,230000,2142
5.38021,3.23172,4,2,30,Medium,Yes,2,No,240000,1705
5.37107,3.24353,4,3,24,Medium,Yes,2,No,235000,1752
5.43933,3.40722,5,3,36,Medium,Yes,2,Yes,275000,2554
5.31175,3.21748,3,2,37,Medium,Yes,2,No,205000,1650
5.44716,3.44963,5,3,56,Medium,Yes,2,No,280000,2816
5.27875,3.28307,3,4,64,Medium,Yes,2,No,190000,1919
5.36642,3.31806,3,2,34,Medium,Yes,2,No,232500,2080
5.41414,3.32387,4,4,24,Medium,Yes,2,No,259500,2108
5.43933,3.39445,3,3,38,Medium,Yes,2,No,275000,2480
5.26458,3.24204,3,2,28,Medium,Yes,2,No,183900,1746
5.4624,3.43185,3,3,39,Medium,No,4,No,290000,2703
5.33836,3.21484,4,2,23,Medium,Yes,2,No,217950,1640
5.34242,3.34163,4,3,30,Medium,Yes,2,No,220000,2196
5.26717,3.2307,3,2,20,Medium,Yes,1,No,185000,1701
5.45939,3.35218,3,2,53,Medium,Yes,2,No,288000,2250
5.29557,3.39829,4,2,38,Medium,Yes,2,No,197500,2502
5.25521,3.24601,4,3,43,Medium,Yes,2,No,179975,1762
5.29003,3.30449,4,3,39,Medium,Yes,2,No,195000,2016
5.3587,3.27967,3,3,26,Medium,Yes,2,Yes,228400,1904
5.28948,3.21801,5,2,42,Medium,Yes,2,No,194750,1652
5.29003,3.31006,4,3,39,Medium,No,2,No,195000,2042
5.32222,3.30514,4,3,42,Medium,Yes,3,No,210000,2019
5.3794,3.44576,5,3,56,Medium,Yes,3,No,239550,2791
5.38382,3.40037,4,3,49,Medium,Yes,1,No,242000,2514
5.26717,3.24204,3,2,18,Medium,Yes,2,No,185000,1746
5.24304,3.28556,3,2,46,Medium,Yes,2,No,175000,1930
5.21748,3.19089,3,1,43,Medium,Yes,3,No,165000,1552
5.26717,3.19479,4,2,9,Medium,Yes,2,No,185000,1566
5.23853,3.22246,3,2,38,Medium,Yes,2,No,173194,1669
5.31207,3.25864,3,3,24,Medium,Yes,2,No,205150,1814
5.33082,3.25382,3,3,26,Medium,Yes,3,No,214200,1794
5.26126,3.22814,3,2,34,Medium,Yes,2,Yes,182500,1691
5.31175,3.2634,4,3,43,Medium,Yes,2,No,205000,1834
5.31806,3.29754,5,3,41,Medium,Yes,2,No,208000,1984
5.35218,3.29358,4,3,40,Medium,Yes,2,No,225000,1966
5.23045,3.22246,3,2,35,Medium,Yes,2,No,170000,1669
5.33445,3.32879,4,3,26,Medium,Yes,2,No,216000,2132
5.25527,3.30255,4,3,43,Medium,Yes,2,No,180000,2007
5.2284,3.29314,4,2,38,Medium,Yes,2,No,169200,1964
5.32838,3.36642,4,3,29,Medium,Yes,3,No,213000,2325
5.32222,3.34163,4,3,37,Medium,Yes,2,No,210000,2196
5.26717,3.31408,3,2,46,Medium,Yes,2,No,185000,2061
5.25503,3.26198,3,2,46,Medium,Yes,2,No,179900,1828
5.29226,3.29137,4,3,34,Medium,Yes,2,No,196000,1956
5.34223,3.26764,6,3,34,Medium,Yes,2,No,219900,1852
5.20385,3.25406,1,2,22,Medium,Yes,2,No,159900,1795
5.23045,3.19866,2,1,52,Low,No,1,No,170000,1580
5.23019,3.23249,3,1,52,Low,No,1,No,169900,1708
5.27761,3.23045,4,2,49,Low,No,2,No,189500,1700
5.29003,3.24105,1,1,41,Low,Yes,2,No,195000,1742
5.33244,3.27646,4,2,41,Low,Yes,2,No,215000,1890
5.233,3.17955,2,1,46,Low,No,1,No,171000,1512
5.25503,3.26482,3,1,49,Low,No,2,No,179900,1840
5.07918,3.02531,2,1,55,Low,No,2,No,120000,1060
5.24304,3.18752,3,2,45,Low,No,2,No,175000,1540
5.36717,3.19033,4,2,40,Low,Yes,2,Yes,232900,1550
5.36154,3.44514,4,2,80,Low,Yes,1,No,229900,2787
5.24279,3.18412,2,2,20,Low,Yes,2,No,174900,1528
5.22763,3.28511,2,2,61,Low,No,2,No,168900,1928
5.36078,3.36717,3,2,42,Low,Yes,2,No,229500,2329
5.37291,3.2878,4,3,43,Low,Yes,2,No,236000,1940
5.31281,3.3251,5,2,36,Low,Yes,2,No,205500,2114
5.32634,3.25503,3,2,40,Low,Yes,2,No,212000,1799
5.31175,3.27045,3,2,62,Low,Yes,2,No,205000,1864
5.28556,3.19893,3,2,46,Low,Yes,2,No,193000,1581
5.25527,3.21801,3,2,43,Low,Yes,2,No,180000,1652
5.26482,3.20194,4,2,25,Low,No,2,No,184000,1592
5.16107,3.18184,3,1,49,Low,No,1,No,144900,1520
5.40654,3.25334,2,2,47,Low,Yes,2,No,255000,1792
5.13672,3.16554,2,1,45,Low,No,1,No,137000,1464
5.25042,3.23096,3,2,41,Low,No,2,No,178000,1702
5.47129,3.33846,3,2,50,Low,Yes,2,No,296000,2180
5.27068,3.17202,2,2,44,Low,Yes,2,No,186500,1486
5.23045,3.13481,2,1,60,Low,No,2,No,170000,1364
5.34044,3.18752,4,2,25,Low,Yes,2,No,219000,1540
5.27416,3.20629,4,2,33,Low,Yes,2,No,188000,1608
5.29059,3.2222,3,1,46,Low,Yes,2,No,195250,1668
5.24304,3.2887,3,2,51,Low,Yes,2,No,175000,1944
